strategy,topology,rho,loe_year,acceleration_years,cannibalization,capacity_profile,risk_policy_profile,minimum_synergy,solution_exists,binding_P5_NPV_usd_m,binding_capacity_breach_probability,delta_eNPV_at_frontier_usd_m,n_runs
MSOG,same_indication,0.0,12.0,0.0,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,high,balanced,0.2,True,-961.5022449734774,0.0216,183.6340689483992,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,high,growth,0.0,True,-1148.2457813904614,0.09536,0.0,100000
MSOG,same_indication,0.0,12.0,0.0,0.1,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.1,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.1,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.1,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.1,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.1,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.1,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.1,high,balanced,0.2,True,-961.5022449734774,0.0216,152.78954341782165,100000
MSOG,same_indication,0.0,12.0,0.0,0.1,high,growth,0.1,True,-1070.035845375231,0.05673,60.97250894362205,100000
MSOG,same_indication,0.0,12.0,0.0,0.25,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.25,low,balanced,,False,,,,100000
