experiment,strategy,topology,rho,loe_year,acceleration_years,rnd_cost_synergy,commercial_cost_synergy,cannibalization,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,delta_eNPV_usd_m,paired_se_delta_eNPV_usd_m,paired_95ci_low_delta_eNPV_usd_m,paired_95ci_high_delta_eNPV_usd_m,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,mean_peak_annual_RnD_linear_proxy_usd_m,low_capacity_breach_probability,low_breach_half_width,base_capacity_breach_probability,base_breach_half_width,high_capacity_breach_probability,high_breach_half_width
E4,Parallel PIAP,same_asset,0.0,12.0,0.0,0.0,0.0,0.0,100000,-471.5690924597016,1.3962992241607481,-485.8732894464881,441.5485843473974,-1148.2457813904614,-1105.0420846667803,-1232.7242211949342,0.86707,1100.9666740247173,-0.4283227672421941,0.0,0.0,0.0,0.0,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,333.11733333333336,0.99569,0.0004060287434928731,0.95452,0.0012913941527487255,0.09536,0.0018204430029216514
E4,Parallel PIAP,same_asset,0.0,12.0,0.0,0.01,0.0,0.0,100000,-462.38738901228174,1.398007712128797,-477.9641550604816,442.0888556808002,-1140.6398836483202,-1087.997036674402,-1278.8827370766667,0.86707,1091.7849705772976,-0.42351507070828015,9.18170344741996,0.010018484583496239,9.162067217636308,9.201339677203611,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,330.30452,0.99569,0.0004060287434928731,0.95452,0.0012913941527487255,0.09535,0.0018203576104820723
E4,Parallel PIAP,same_asset,0.0,12.0,0.0,0.02,0.0,0.0,100000,-453.20568556486177,1.399785820408958,-470.0550206744751,442.6511428899715,-1133.0339859061787,-1070.9519886820237,-1268.683358446601,0.86707,1082.6032671298774,-0.41862582473667315,18.363406894839915,0.0200369691669925,18.32413443527261,18.40267935440722,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,327.4917066666667,0.99569,0.0004060287434928731,0.95452,0.0012913941527487255,0.09535,0.0018203576104820723
E4,Parallel PIAP,same_asset,0.0,12.0,0.0,0.03,0.0,0.0,100000,-444.0239821174418,1.4016332840408239,-462.14588628846855,443.23536218707386,-1125.4280881640375,-1053.9069406896454,-1258.5074900573861,0.8646,1073.4215636824574,-0.413652936684244,27.545110342259864,0.03005545375048876,27.486201652908907,27.60401903161082,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,324.67889333333335,0.99535,0.00042166781954519795,0.95452,0.0012913941527487255,0.09534,0.0018202722119261174
E4,Parallel PIAP,same_asset,0.0,12.0,0.0,0.04,0.0,0.0,100000,-434.8422786700218,1.4035498291513733,-454.23675190246206,443.8414269658534,-1117.8221904218963,-1036.8618926972672,-1248.3088382519277,0.86449,1064.2398602350374,-0.4085942416909538,36.72681378967984,0.04007393833398493,36.64826887054523,36.805358708814445,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,321.86608,0.99421,0.00047025607723281845,0.95452,0.0012913941527487255,0.09534,0.0018202722119261174
E4,Parallel PIAP,same_asset,0.0,12.0,0.0,0.05,0.0,0.0,100000,-425.66057522260184,1.405535173148411,-446.3276175164555,444.4692478628115,-1110.216292679755,-1019.8168447048888,-1238.1101864464692,0.86392,1055.0581567876175,-0.40344749953749426,45.9085172370998,0.05009242291748118,45.810336088181536,46.006698386018066,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,319.0532666666666,0.99417,0.00047186816211480093,0.95452,0.0012913941527487255,0.09533,0.0018201868072529256
E4,Parallel PIAP,same_asset,0.0,12.0,0.0,0.06,0.0,0.0,100000,-416.4788717751819,1.4075890249183236,-438.41848313044903,445.1187328197407,-1102.6103949376138,-1002.7717967125105,-1227.9115346410106,0.86387,1045.8764533401977,-0.3982103913374094,55.090220684519764,0.060110907500977466,54.97240330581785,55.20803806322168,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,316.24045333333333,0.99397,0.0004798454330986169,0.95452,0.0012913941527487255,0.09533,0.0018201868072529256
E4,Parallel PIAP,same_asset,0.0,12.0,0.0,0.07,0.0,0.0,100000,-407.2971683277619,1.409711085027851,-430.5093487444425,445.78978714753003,-1095.0044971954724,-985.7267487201323,-1217.712882835552,0.86387,1036.6947498927777,-0.3928805160534356,64.27192413193973,0.07012939208447369,64.13447052345415,64.4093777404253,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,313.42764,0.99397,0.0004798454330986169,0.95452,0.0012913941527487255,0.09533,0.0018201868072529256
E4,Parallel PIAP,same_asset,0.0,12.0,0.0,0.08,0.0,0.0,100000,-398.11546488034196,1.4119010459295596,-422.600214358436,446.4823135911415,-1087.3985994533311,-968.681700727754,-1207.5142310300932,0.86387,1027.5130464453578,-0.3874553868270649,73.45362757935966,0.08014787666796995,73.29653774109045,73.61071741762888,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,310.61482666666666,0.99397,0.0004798454330986169,0.95452,0.0012913941527487255,0.05673,0.0014337732526287412
E4,Parallel PIAP,same_asset,0.0,12.0,0.0,0.09,0.0,0.0,100000,-388.93376143292204,1.4141585921707176,-414.69107997242946,447.19621239566266,-1079.79270171119,-953.2692788259461,-1197.3155792246348,0.83338,1018.3313429979378,-0.38193242710954217,82.63533102677964,0.0901663612514662,82.45860495872677,82.81205709483251,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,307.8020133333334,0.99397,0.0004798454330986169,0.95452,0.0012913941527487255,0.05673,0.0014337732526287412
