experiment,strategy,topology,rho,loe_year,acceleration_years,rnd_cost_synergy,commercial_cost_synergy,cannibalization,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,delta_eNPV_usd_m,paired_se_delta_eNPV_usd_m,paired_95ci_low_delta_eNPV_usd_m,paired_95ci_high_delta_eNPV_usd_m,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,low_capacity_breach_probability,base_capacity_breach_probability,high_capacity_breach_probability
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.0,0.0,250000,84.54533716936272,2.4467014469603563,-559.4006505566923,1223.3507234801782,-1178.5694457769846,-884.1468803601001,-1596.5720446909634,0.5761,1100.4234782191143,0.07682981946749069,0.38485795274946233,2.6065934572858205,-4.724065223530745,5.493781129029671,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.639492,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.01,0.0,250000,87.56189340835664,2.4543862870367863,-559.4006505566923,1227.193143518393,-1178.5694457769846,-884.1468803601001,-1596.5696547034665,0.5761,1100.4234782191143,0.07957108798702082,3.4014141917433736,2.6121604481102967,-1.7184202865528078,8.521248670039554,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.639492,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.02,0.0,250000,90.57844964735055,2.462075424867685,-559.4006505566923,1231.0377124338424,-1178.5694457769846,-884.1468803601001,-1596.5672647159693,0.5761,1100.4234782191143,0.08231235650655097,6.417970430737287,2.6177422023731025,1.287195714086006,11.54874514738857,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.639492,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.03,0.0,250000,93.59500588634447,2.469768820312422,-559.4006505566923,1234.884410156211,-1178.5694457769846,-884.1468803601001,-1596.5648747284722,0.5761,1100.4234782191143,0.0850536250260811,9.4345266697312,2.623338625836441,4.292782963091776,14.576270376370625,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.639492,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.04,0.0,250000,96.61156212533841,2.477466433706881,-559.4006505566923,1238.7332168534404,-1178.5694457769846,-884.1468803601001,-1596.5624847409754,0.5761,1100.4234782191143,0.08779489354561126,12.451082908725141,2.6289496248183464,7.298341644081182,17.603824173369098,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.639492,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.05,0.0,250000,99.62811836433237,2.485168225856757,-559.4006505566923,1242.5841129283785,-1178.5694457769846,-884.1468803601001,-1596.560094753478,0.5761,1100.4234782191143,0.09053616206514144,15.467639147719092,2.634575106191979,10.303871939582812,20.631406355855372,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.639492,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.06,0.0,250000,102.64467460332627,2.492874158030967,-559.4006505566923,1246.4370790154835,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.09327743058467156,18.484195386712972,2.64021497738485,13.309374031038667,23.65901674238728,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.639492,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.07,0.0,250000,105.66123084232017,2.5005841919551597,-559.4006505566923,1250.29209597758,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.09601869910420169,21.50075162570689,2.64586914637798,16.31484809880605,26.68665515260773,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.639492,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.08,0.0,250000,108.6777870813141,2.5082982898053268,-559.4006505566923,1254.1491449026635,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.09875996762373183,24.517307864700822,2.6515375217049924,19.320294322159036,29.714321407242608,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.639492,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.09,0.0,250000,111.694343320308,2.5160164142015193,-559.4006505566923,1258.0082071007596,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.10150123614326195,27.53386410369473,2.657220012451136,22.325712879290503,32.74201532809896,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.639492,0.094716
