experiment,strategy,topology,rho,loe_year,acceleration_years,rnd_cost_synergy,commercial_cost_synergy,cannibalization,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,delta_eNPV_usd_m,paired_se_delta_eNPV_usd_m,paired_95ci_low_delta_eNPV_usd_m,paired_95ci_high_delta_eNPV_usd_m,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,low_capacity_breach_probability,base_capacity_breach_probability,high_capacity_breach_probability
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.0,0.0,0.0,100000,-471.5690924597016,1.3962992241607481,-485.8732894464881,441.5485843473974,-1148.2457813904614,-1105.0420846667803,-1232.7242211949342,0.86707,1100.9666740247173,-0.4283227672421941,0.0,0.0,0.0,0.0,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,0.99569,0.95452,0.09536
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.1,0.0,0.0,100000,-379.75205798550206,1.4164834006052625,-406.781945586423,447.93138137333585,-1070.035845375231,-939.7749297754672,-1187.1169274191761,0.83338,1009.1496395505178,-0.3763089665816521,91.81703447419959,0.10018484583496245,91.62067217636306,92.01339677203612,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,0.99397,0.95423,0.05673
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.2,0.0,0.0,100000,-287.9350235113025,1.4433547490684813,-327.69060172635784,456.4288478677196,-961.5022449734774,-804.8314392706775,-1085.1304093645904,0.79529,917.3326050763183,-0.3138829056308835,183.6340689483992,0.20036969166992483,183.24134435272614,184.02679354407226,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,0.99377,0.95132,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.3,0.0,0.0,100000,-196.11798903710292,1.4765482199362068,-248.59925786629267,466.92554500656536,-852.9686445717239,-713.9730533344037,-983.8745224809411,0.64151,825.5155706021187,-0.23757030881205232,275.45110342259875,0.3005545375048873,274.86201652908915,276.04019031610835,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,0.99377,0.95118,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.0,0.0,0.1,100000,-502.4136179902792,1.2628448352970116,-485.8732894464881,399.3466010918757,-1148.2457813904614,-1105.0420846667803,-1232.7145720305077,0.86727,1100.9666740247173,-0.45633862481381493,-30.844525530577524,0.19798770051399353,-31.23258142358495,-30.4564696375701,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,0.99954,0.99377,0.09536
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.1,0.0,0.1,100000,-410.59658351607965,1.2765903285802738,-406.781945586423,403.6933077256411,-1070.035845375231,-939.7749297754672,-1187.1169274191761,0.86707,1009.1496395505178,-0.40687383458707094,60.97250894362205,0.1654334339842108,60.648259413013,61.296758474231105,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,0.99944,0.96897,0.05673
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.2,0.0,0.1,100000,-318.77954904188,1.2979455545911764,-327.69060172635784,410.4464231398535,-961.5022449734774,-804.8314392706775,-1085.1304093645904,0.82928,917.3326050763183,-0.34750705172564844,152.78954341782165,0.18870961627523924,152.41967256992217,153.15941426572113,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,0.99944,0.96897,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.3,0.0,0.1,100000,-226.96251456768044,1.3265430505683755,-248.59925786629267,419.4897454063987,-852.9686445717239,-713.9730533344037,-983.8745224809411,0.65844,825.5155706021187,-0.2749342624780988,244.60657789202125,0.2528407090237611,244.1110101023347,245.1021456817078,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,0.99832,0.95452,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.0,0.0,0.25,100000,-548.6804062861454,1.0997554936591818,-485.8732894464881,347.77322292458786,-1148.2457813904614,-1105.0420846667803,-1232.8167614851789,0.99579,1100.9666740247173,-0.498362411171246,-77.1113138264438,0.4949692512849838,-78.08145355896238,-76.14117409392523,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,1.0,0.99954,0.09536
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.0,0.1,0.0,0.25,100000,-456.8633718119459,1.1007116185027424,-409.8143120250753,348.0755761479002,-1070.035845375231,-939.7749297754672,-1186.8720567474018,0.91185,1009.1496395505178,-0.4527211365951991,14.705720647755784,0.44761789902508164,13.828389565666624,15.583051729844945,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.0,0.90862,0.6261,1.0,0.99954,0.05673
