strategy,topology,rho,loe_year,acceleration_years,cannibalization,capacity_profile,risk_policy_profile,minimum_synergy,solution_exists,binding_P5_NPV_usd_m,binding_capacity_breach_probability,delta_eNPV_at_frontier_usd_m,n_runs
MSOG,same_indication,0.0,12.0,0.0,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,high,balanced,0.17,True,-994.0623250940034,0.0216,156.0889586061393,100000
MSOG,same_indication,0.0,12.0,0.0,0.0,high,growth,0.0,True,-1148.2457813904614,0.09536,0.0,100000
MSOG,same_indication,0.0,12.0,0.5,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,0.5,0.0,high,balanced,0.18,True,-995.5521338513649,0.0216,271.81593854957845,100000
MSOG,same_indication,0.0,12.0,0.5,0.0,high,growth,0.0,True,-1161.8183631345016,0.09535,104.55235081844671,100000
MSOG,same_indication,0.0,12.0,1.0,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,12.0,1.0,0.0,low,balanced,,False,,,,100000
