experiment,comparison,rho,common_shock_probability,acceleration_years,loe_year,delta_eNPV_usd_m,paired_se_delta_eNPV_usd_m,paired_95ci_low_delta_eNPV_usd_m,paired_95ci_high_delta_eNPV_usd_m,delta_eDevCost_usd_m,delta_mean_peak_annual_RnD_usd_m,delta_P5_NPV_usd_m,delta_CVaR5_NPV_usd_m,delta_mean_launches,delta_mean_launches_before_loe,delta_low_capacity_breach_probability,delta_low_mean_funding_need_usd_m,delta_base_capacity_breach_probability,delta_base_mean_funding_need_usd_m,delta_high_capacity_breach_probability,delta_high_mean_funding_need_usd_m
E5,staged minus parallel,0.415,0.0,0.0,12.0,-278.3549287639444,1.8571817906961223,-281.9950050737088,-274.71485245417995,-115.90488912777381,-47.74633333333334,-30.108806777471273,82.49553695986356,0.0,-0.10769000000000006,0.03019000000000005,1016.0554308333332,0.09460000000000002,984.1112933333332,0.15977000000000002,800.4614308333331
E5,staged minus parallel,0.415,0.0,0.0,15.0,-440.5823913897218,2.7783578511518465,-446.0279727779794,-435.1368100014642,-115.90488912777381,-47.74633333333334,-151.59079242831172,156.61127463917842,0.0,-0.025430000000000064,0.20306999999999997,708.4663433333329,0.06381999999999999,516.0619558333331,0.04888999999999999,337.69124333333303
E5,staged minus parallel,0.415,0.0,0.0,18.0,-465.98710849423634,2.958885534052193,-471.78652414097866,-460.187692847494,-115.90488912777381,-47.74633333333334,-62.6516639110946,250.9029898738779,0.0,-0.006750000000000034,0.09624999999999995,377.75420333333307,0.0988,292.3839033333331,0.01679,116.97729083333313
E5,staged minus parallel,0.415,0.0,0.5,12.0,-335.7080097060612,2.1690823542817506,-339.9594111204534,-331.456608291669,-112.26187535180796,-63.89426666666668,-92.21689454867192,52.687732782524336,0.0,-0.07286000000000004,0.06055999999999995,1075.7616025,0.10985999999999996,1015.9090275,0.11997999999999999,737.8156275
E5,staged minus parallel,0.415,0.0,0.5,15.0,-455.263357819773,2.8894265981031184,-460.9266339520551,-449.60008168749084,-112.26187535180796,-63.89426666666668,-91.36266240299938,190.30050149214685,0.0,-0.009020000000000028,0.11613999999999991,549.64223,0.08431,433.9504675,0.03622,270.0911925
E5,staged minus parallel,0.415,0.0,0.5,18.0,-470.7381014895516,3.0048979009589396,-476.6277013754311,-464.84850160367205,-112.26187535180796,-63.89426666666668,-64.82704638412815,252.7979152262326,0.0,-0.0018799999999999928,0.07845000000000002,295.58054,0.05825999999999998,212.8408775,0.011689999999999992,82.781815
E5,staged minus parallel,0.415,0.0,1.0,12.0,-385.3668839774966,2.4672344179809285,-390.2026634367393,-380.531104518254,-107.95757351725261,-91.36733333333336,-78.87052610932824,29.753058128678276,0.0,-0.03134999999999999,0.09857000000000005,1079.6600475,0.17359000000000002,984.1077725,0.08820000000000001,627.92931
E5,staged minus parallel,0.415,0.0,1.0,15.0,-463.64327031047253,2.9769307959291607,-469.4780546704937,-457.80848595045137,-107.95757351725261,-91.36733333333336,-123.66441432658098,173.00707076942467,0.0,-0.0043600000000000305,0.09184999999999999,443.6522225,0.09770999999999996,360.9618225,0.023470000000000005,187.264135
E5,staged minus parallel,0.415,0.0,1.0,18.0,-470.9511918915825,3.034595136289742,-476.8989983587104,-465.00338542445456,-107.95757351725261,-91.36733333333336,-67.58360310280682,237.69394293754567,0.0,-0.00031000000000003247,0.08184999999999998,222.688915,0.04452999999999996,144.556365,0.004519999999999996,47.563965
E5,staged minus parallel,0.415,0.0,1.5,12.0,-416.12342045426266,2.6896782381320024,-421.3951898010014,-410.85165110752394,-102.87837966366544,-137.78733333333335,-181.6091008520125,51.33853772500743,0.0,-0.008000000000000007,0.10819000000000001,991.7694725,0.19040999999999997,870.3256475,0.06682,515.5801850000001
E5,staged minus parallel,0.415,0.0,1.5,15.0,-463.94820043967957,3.0323719407400627,-469.89164944353007,-458.00475143582906,-102.87837966366544,-137.78733333333335,-70.98074262448472,201.5640162097925,0.0,-0.0005800000000000249,0.06996999999999998,341.8645475000001,0.08931999999999995,276.23492250000015,0.012689999999999993,118.95786000000011
E5,staged minus parallel,0.415,0.0,1.5,18.0,-466.38122006377955,3.051906556361706,-472.3629569142485,-460.3994832133106,-102.87837966366544,-137.78733333333335,39.309344340846565,232.36576062235417,0.0,-2.999999999997449e-05,0.06074999999999997,152.95329000000012,0.029289999999999927,89.86342750000011,0.0014900000000000052,23.052300000000074
E5,staged minus parallel,0.415,0.05,0.0,12.0,-278.3977988461573,1.8916265579215747,-282.1053868996836,-274.690210792631,-115.9613292050668,-47.91733333333334,-17.228774440314055,106.24668190850139,0.0,-0.10125000000000006,0.032340000000000035,1014.5197908333331,0.09814999999999996,980.5222658333331,0.15265,790.2780033333331
E5,staged minus parallel,0.415,0.05,0.0,15.0,-439.1725488719186,2.813166157048574,-444.68635453973377,-433.6587432041034,-115.9613292050668,-47.91733333333334,112.50810860204933,242.6765360632719,0.0,-0.022840000000000082,0.20216,675.2086258333331,0.060679999999999956,484.18112583333306,0.044590000000000005,313.2864383333331
E5,staged minus parallel,0.415,0.05,0.0,18.0,-463.0285979541765,2.984837120700943,-468.87887871075037,-457.17831719760267,-115.9613292050668,-47.91733333333334,201.44723711926645,334.56355582617994,0.0,-0.006040000000000045,0.09079999999999999,347.55525083333305,0.09116000000000002,266.67086333333305,0.014850000000000002,104.17082833333313
E5,staged minus parallel,0.415,0.05,0.5,12.0,-335.5548173709883,2.205062360395481,-339.87673959736344,-331.23289514461317,-112.29724233467475,-64.21646666666668,-32.26211518250784,81.94916537503877,0.0,-0.06900000000000006,0.06318000000000001,1070.7609525,0.11314000000000002,1008.349815,0.11431999999999999,722.6348525
E5,staged minus parallel,0.415,0.05,0.5,15.0,-453.62416960839846,2.922864459881154,-459.35298394976553,-447.8953552670314,-112.29724233467475,-64.21646666666668,171.2561754963574,263.44554059786356,0.0,-0.008300000000000085,0.11277999999999999,516.884715,0.08006999999999997,404.2988525,0.03268,248.972065
E5,staged minus parallel,0.415,0.05,0.5,18.0,-468.12103341986597,3.032501302304545,-474.0647359723829,-462.17733086734904,-112.29724233467475,-64.21646666666668,197.79179151522862,321.1272569418636,0.0,-0.0017800000000000038,0.07372000000000001,269.69039,0.05335999999999996,192.2694275,0.0102,73.34319
