nominal_breadth,launch_target_per_3y,service_probability,analytic_probability
1,1,0.151856,0.15134005199999997
1,2,0.0,0.0
1,3,0.0,0.0
2,1,0.27924,0.27977629266063725
2,2,0.023108,0.022903811339362697
2,3,0.0,0.0
3,1,0.388504,0.3887749859810091
3,2,0.061896,0.06177890601989341
3,3,0.003596,0.0034662639990973394
4,1,0.481316,0.48127781138634396
4,2,0.111588,0.11126650976500482
4,3,0.012528,0.012291302274782
5,1,0.560332,0.5597812543846885
5,2,0.167124,0.167264039392966
5,3,0.027616,0.02727021532306311
6,1,0.627444,0.6264039822374844
6,2,0.226232,0.22666761512070846
6,3,0.04904,0.04845688793748107
7,1,0.68376,0.6829440229926564
7,2,0.28714,0.2871637377064523
7,3,0.075728,0.07542730865634849
8,1,0.731832,0.7309272910398587
8,2,0.347172,0.3470611466622414
8,3,0.107496,0.10747151083908554
9,1,0.772828,0.7716487688056672
9,2,0.405336,0.4051554689133894
9,3,0.143484,0.14373101878322297
10,1,0.806712,0.8062074560088817
10,2,0.461064,0.4606205839767385
10,3,0.182648,0.18329500865999382
11,1,0.836012,0.8355360296937098
11,2,0.513684,0.5129217191606001
11,3,0.225056,0.22526547564935975
12,1,0.860716,0.8604260155119902
12,2,0.562004,0.5617461856926254
12,3,0.268672,0.26879938650047563
13,1,0.881792,0.8815491495822527
13,2,0.606852,0.6069484066688392
13,3,0.312968,0.31313397032344914
14,1,0.899636,0.8994755074439189
14,2,0.64786,0.6485064973805938
14,3,0.357244,0.3575998623983111
15,1,0.91474,0.9146888893746298
15,2,0.686228,0.686488160413966
15,3,0.400964,0.4016256876636747
16,1,0.927444,0.9275998772928511
16,2,0.720388,0.7210240706013107
16,3,0.444364,0.4447367891025524
17,1,0.93828,0.9385569156281574
17,2,0.751304,0.7522872639279504
17,3,0.485972,0.4865501206515128
18,1,0.947612,0.9478557152120324
18,2,0.779984,0.7804773227022817
18,3,0.52676,0.5267667937333005
19,1,0.955416,0.9557472339833463
19,2,0.805508,0.8058083773283837
19,3,0.565368,0.5651633583804139
20,1,0.962192,0.9624444498934505
20,2,0.828096,0.8285001316913663
20,3,0.601308,0.6015825880615406
21,1,0.96774,0.9681281087994642
21,2,0.849028,0.8487712717731744
21,3,0.635696,0.6359243009141907
22,1,0.972696,0.9729516024710917
22,2,0.86736,0.8668347416952885
22,3,0.668632,0.6681365725520318
23,1,0.976704,0.9770451083596333
23,2,0.882836,0.8828944729231754
23,3,0.699344,0.698207563802477
24,1,0.98036,0.9805191028541408
24,2,0.896916,0.8971432349859619
24,3,0.72706,0.7261580902325229
25,1,0.983276,0.9834673428412017
25,2,0.90956,0.9097613431646773
25,3,0.752968,0.7520349909307358
26,1,0.98588,0.9859693960353124
26,2,0.92058,0.9209160129884345
26,3,0.776276,0.7759053052795909
27,1,0.98802,0.9880927883689197
27,2,0.930344,0.9307611953615249
27,3,0.798484,0.797851233324804
28,1,0.989808,0.9898948263963424
28,2,0.939244,0.9394377616285069
28,3,0.818696,0.8179658338907594
29,1,0.991348,0.991424143894989
29,2,0.94688,0.9470739364342384
29,3,0.836948,0.8363494017511304
30,1,0.99264,0.9927220144038659
30,2,0.953456,0.9537858991375592
30,3,0.853948,0.8531064585877477
31,1,0.99382,0.99382346512244
31,2,0.959524,0.9596784928466401
31,3,0.86884,0.8683432903558871
32,1,0.994756,0.9947582222319897
32,2,0.964916,0.9648459947263982
32,3,0.88248,0.8821659646502682
33,1,0.995496,0.9955515131519729
33,2,0.969404,0.9693729127925302
33,3,0.895132,0.8946787647013512
34,1,0.996136,0.9962247473828746
34,2,0.973312,0.9733347835322155
34,3,0.906336,0.905982980957566
35,1,0.996748,0.9967960943102635
35,2,0.976844,0.9767989518516524
35,3,0.9168,0.9161760062615072
36,1,0.997248,0.9972809735639513
36,2,0.979936,0.97982532043119
36,3,0.925796,0.925350685999513
37,1,0.997652,0.9976924711661723
37,2,0.98242,0.9824670598839961
37,3,0.934092,0.9335948800070839
38,1,0.997948,0.9980416926998753
38,2,0.984756,0.984771274419162
38,3,0.941488,0.9409911982510092
39,1,0.998244,0.9983380630285081
39,2,0.9867,0.9867796202118269
39,3,0.947996,0.9476168772548614
40,1,0.99844,0.9985895806561944
40,2,0.988484,0.9885288755487425
40,3,0.95344,0.9535437688104311
41,1,0.998684,0.9988030335930278
41,2,0.989976,0.990051463182861
41,3,0.958616,0.9588384166834327
42,1,0.99892,0.9989841825513012
42,2,0.991304,0.9913759263038172
42,3,0.9634,0.9635622007637347
43,1,0.99908,0.9991379164168098
43,2,0.992576,0.9925273601999408
43,3,0.967572,0.9677715314332844
44,1,0.999236,0.9992683841911182
44,2,0.993536,0.9935278021215507
44,3,0.971616,0.9715180798461334
45,1,0.999372,0.9993791069656783
45,2,0.994388,0.9943965821104693
45,3,0.974924,0.9748490323598006
46,1,0.99946,0.999473072949779
46,2,0.995068,0.9951506376811479
46,3,0.977776,0.9778073595555393
47,1,0.999564,0.9995528181169596
47,2,0.99578,0.9958047952594692
47,3,0.980416,0.9804320921689194
48,1,0.999628,0.9996204946463925
48,2,0.996368,0.996372021233619
48,3,0.982684,0.9827585978540238
49,1,0.999664,0.9996779290063417
49,2,0.996788,0.9968636453688288
49,3,0.984728,0.9848188540561897
50,1,0.999704,0.9997266712472697
50,2,0.997156,0.9972895592008727
50,3,0.986544,0.9866417133997737
51,1,0.999744,0.999768036834921
51,2,0.99752,0.9976583918647043
51,3,0.98814,0.9882531589369999
52,1,0.999776,0.9998031421523861
52,2,0.997852,0.9979776656441983
52,3,0.989488,0.9896765473773509
53,1,0.999824,0.9998329346292806
53,2,0.998144,0.9982539333538722
53,3,0.9907,0.9909328390475137
54,1,0.999852,0.9998582183111727
54,2,0.998364,0.9984928994890007
54,3,0.991776,0.9920408138405349
55,1,0.999872,0.9998796755593324
55,2,0.998568,0.9986995269105448
55,3,0.992768,0.9930172728180822
56,1,0.99988,0.99989788546644
56,2,0.99872,0.99887813066842
56,3,0.993644,0.9938772254479127
57,1,0.999896,0.9999133394852588
57,2,0.998896,0.9990324604125795
57,3,0.994396,0.9946340627040313
58,1,0.999912,0.9999264546920661
58,2,0.999056,0.9991657726972446
