geometry,cluster_size,rho,launch_target_per_3y,service_target,minimum_nominal_breadth,effective_breadth_at_frontier,achieved_service_probability,service_half_width,solution_exists,n_runs
Diversified,1,0.0,1,0.7,8,8.011218017270155,0.731832,0.0017365817845156404,True,250000
Diversified,1,0.0,1,0.8,10,10.024123288087056,0.806712,0.0015479173631347762,True,250000
Diversified,1,0.0,1,0.9,15,14.988221056727717,0.91474,0.0010947313781706268,True,250000
Diversified,1,0.0,2,0.7,16,15.946806887589332,0.720388,0.001759329581082714,True,250000
Diversified,1,0.0,2,0.8,19,18.929782188549442,0.805508,0.0015515717625857177,True,250000
Diversified,1,0.0,2,0.9,25,25.03696880823588,0.90956,0.0011242995073311025,True,250000
Diversified,1,0.0,3,0.7,24,24.03674364401379,0.72706,0.0017462434361637438,True,250000
Diversified,1,0.0,3,0.8,28,28.030020051027623,0.818696,0.0015102578235227182,True,250000
Diversified,1,0.0,3,0.9,34,34.08407231332712,0.906336,0.0011421339278517668,True,250000
MSOG trios,3,0.25,1,0.7,9,7.552683595025548,0.73562,0.0017287298470830656,True,250000
MSOG trios,3,0.25,1,0.8,11,9.38990355090926,0.806552,0.0015484043233867744,True,250000
MSOG trios,3,0.25,1,0.9,16,13.560766238048412,0.907504,0.0011357214206354205,True,250000
MSOG trios,3,0.25,2,0.7,17,14.395208371030803,0.724856,0.0017506202969468651,True,250000
MSOG trios,3,0.25,2,0.8,20,16.887813401220185,0.801196,0.0015644727837247846,True,250000
MSOG trios,3,0.25,2,0.9,26,21.938031790731955,0.900508,0.001173340159342273,True,250000
MSOG trios,3,0.25,3,0.7,24,20.120345105681043,0.70014,0.00179613005665474,True,250000
MSOG trios,3,0.25,3,0.8,29,24.414507244644955,0.810244,0.001537063244031946,True,250000
MSOG trios,3,0.25,3,0.9,36,30.12030987760692,0.904808,0.0011504414179179358,True,250000
PIAP sixes,6,0.415,1,0.7,11,6.119332285538993,0.718048,0.00176380429270841,True,250000
PIAP sixes,6,0.415,1,0.8,14,7.865084518424252,0.805832,0.001550590612534826,True,250000
PIAP sixes,6,0.415,1,0.9,21,11.57556387297445,0.91008,0.0011213830861106474,True,250000
PIAP sixes,6,0.415,2,0.7,19,10.321061388662079,0.701128,0.0017944333725046751,True,250000
PIAP sixes,6,0.415,2,0.8,25,13.512178886806426,0.819528,0.0015075540118761723,True,250000
PIAP sixes,6,0.415,2,0.9,32,17.42047636386056,0.904452,0.0011523638587879325,True,250000
PIAP sixes,6,0.415,3,0.7,27,14.807373815994781,0.703748,0.001789885704047757,True,250000
PIAP sixes,6,0.415,3,0.8,33,18.009986857104117,0.806264,0.0015492798262767722,True,250000
PIAP sixes,6,0.415,3,0.9,43,23.11987293405798,0.909136,0.0011266691955120923,True,250000
