experiment,geometry,cluster_size,rho,nominal_breadth,launch_target_per_3y,service_probability,service_half_width,mean_launches_per_3y,variance_launches_per_3y,effective_breadth,n_runs
E8_launch_service,Diversified,1,0.0,1,1,0.15064,0.0014021746870923608,0.15064,0.12794810219240876,1.0,250000
E8_launch_service,Diversified,1,0.0,1,2,0.0,0.0,0.15064,0.12794810219240876,1.0,250000
E8_launch_service,Diversified,1,0.0,1,3,0.0,0.0,0.15064,0.12794810219240876,1.0,250000
E8_launch_service,Diversified,1,0.0,2,1,0.278748,0.0017576623995166232,0.301328,0.2556904591778367,2.0018716505723035,250000
E8_launch_service,Diversified,1,0.0,2,2,0.02258,0.0005823561235318471,0.301328,0.2556904591778367,2.0018716505723035,250000
E8_launch_service,Diversified,1,0.0,2,3,0.0,0.0,0.301328,0.2556904591778367,2.0018716505723035,250000
E8_launch_service,Diversified,1,0.0,3,1,0.387356,0.0019096127382279187,0.451596,0.38247458268233075,3.0089668469949356,250000
E8_launch_service,Diversified,1,0.0,3,2,0.061072,0.0009386923608312696,0.451596,0.38247458268233075,3.0089668469949356,250000
E8_launch_service,Diversified,1,0.0,3,3,0.003168,0.00022028739085005843,0.451596,0.38247458268233075,3.0089668469949356,250000
E8_launch_service,Diversified,1,0.0,4,1,0.48006,0.001958440773687313,0.60222,0.5094811095244381,4.016280034816645,250000
E8_launch_service,Diversified,1,0.0,4,2,0.109816,0.0012256282691041202,0.60222,0.5094811095244381,4.016280034816645,250000
E8_launch_service,Diversified,1,0.0,4,3,0.011884,0.0004247871340887358,0.60222,0.5094811095244381,4.016280034816645,250000
E8_launch_service,Diversified,1,0.0,5,1,0.558076,0.001946733641631868,0.7526,0.6386837947351788,5.004988963320734,250000
E8_launch_service,Diversified,1,0.0,5,2,0.165224,0.0014558197616077045,0.7526,0.6386837947351788,5.004988963320734,250000
E8_launch_service,Diversified,1,0.0,5,3,0.026928,0.0006345423378339561,0.7526,0.6386837947351788,5.004988963320734,250000
E8_launch_service,Diversified,1,0.0,6,1,0.625028,0.0018977334963457702,0.904448,0.7673928848675394,6.005620723978904,250000
E8_launch_service,Diversified,1,0.0,6,2,0.225132,0.00163726336699257,0.904448,0.7673928848675394,6.005620723978904,250000
E8_launch_service,Diversified,1,0.0,6,3,0.0479,0.0008371342414308471,0.904448,0.7673928848675394,6.005620723978904,250000
E8_launch_service,Diversified,1,0.0,7,1,0.681516,0.0018262822776380985,1.05524,0.8947441213764856,7.011124439258449,250000
E8_launch_service,Diversified,1,0.0,7,2,0.285724,0.001770893552122745,1.05524,0.8947441213764856,7.011124439258449,250000
E8_launch_service,Diversified,1,0.0,7,3,0.074584,0.001029858136692759,1.05524,0.8947441213764856,7.011124439258449,250000
E8_launch_service,Diversified,1,0.0,8,1,0.730068,0.0017401829524374057,1.206392,1.023214435193741,8.009829452232703,250000
E8_launch_service,Diversified,1,0.0,8,2,0.345012,0.0018634589882246505,1.206392,1.023214435193741,8.009829452232703,250000
