geometry,cluster_size,rho,launch_target_per_3y,service_target,minimum_nominal_breadth,effective_breadth_at_frontier,achieved_service_probability,service_half_width,solution_exists,n_runs
Diversified,1,0.0,1,0.7,8,8.009829452232703,0.730068,0.0017401829524374057,True,250000
Diversified,1,0.0,1,0.8,10,10.024951947514852,0.806392,0.001548890876566813,True,250000
Diversified,1,0.0,1,0.9,15,15.035535314699928,0.914668,0.0010951504149832232,True,250000
Diversified,1,0.0,2,0.7,16,16.005999184630596,0.719652,0.0017607433890932246,True,250000
Diversified,1,0.0,2,0.8,19,19.021446189576526,0.804972,0.0015531912586879768,True,250000
Diversified,1,0.0,2,0.9,25,25.023200880579825,0.909952,0.001122102021252887,True,250000
Diversified,1,0.0,3,0.7,24,24.00694547728158,0.725104,0.001750130476929368,True,250000
Diversified,1,0.0,3,0.8,28,27.97416895078127,0.816916,0.0015160026632473579,True,250000
Diversified,1,0.0,3,0.9,34,33.8834900116978,0.905388,0.0011472988165637924,True,250000
MSOG trios,3,0.25,1,0.7,9,7.280148415014138,0.729596,0.0017411406099834834,True,250000
MSOG trios,3,0.25,1,0.8,11,9.054837242782344,0.80064,0.001566115260229131,True,250000
MSOG trios,3,0.25,1,0.9,16,13.089488418688639,0.903392,0.0011580591247102674,True,250000
MSOG trios,3,0.25,2,0.7,17,13.896886128501157,0.718648,0.0017626625643406553,True,250000
MSOG trios,3,0.25,2,0.8,21,16.936870238804023,0.814972,0.0015222154943531293,True,250000
MSOG trios,3,0.25,2,0.9,27,21.89037618667565,0.906492,0.0011412806104031342,True,250000
MSOG trios,3,0.25,3,0.7,25,20.399828462487243,0.721104,0.0017579485569042736,True,250000
MSOG trios,3,0.25,3,0.8,29,23.63466322558396,0.804984,0.0015531550508980747,True,250000
MSOG trios,3,0.25,3,0.9,36,29.07765164410587,0.900672,0.001172479460007561,True,250000
PIAP sixes,6,0.415,1,0.7,12,5.7691655130285815,0.715712,0.0017682125983805562,True,250000
PIAP sixes,6,0.415,1,0.8,15,7.681469496104002,0.808188,0.0015434058880407183,True,250000
PIAP sixes,6,0.415,1,0.9,22,10.950923301364094,0.905784,0.0011451456310417644,True,250000
PIAP sixes,6,0.415,2,0.7,20,9.984682653405345,0.70924,0.0017801229843039945,True,250000
PIAP sixes,6,0.415,2,0.8,25,12.247760214327414,0.80142,0.001563809720647317,True,250000
PIAP sixes,6,0.415,2,0.9,34,16.778821783389628,0.906704,0.0011401194244196956,True,250000
PIAP sixes,6,0.415,3,0.7,28,13.856047564288271,0.70642,0.0017851749878124105,True,250000
PIAP sixes,6,0.415,3,0.8,34,16.778821783389628,0.802584,0.0015603516690562683,True,250000
PIAP sixes,6,0.415,3,0.9,44,21.59429214081115,0.902932,0.0011605173298994578,True,250000
